timestamp_before,timestamp_after,accel_x,accel_y,accel_z,gyro_x,gyro_y,gryo_z
1490294887.3030200005,1490294887.3058550358, -1.2991,  0.2661, -0.1509, -3.5400, -1.3275, -4.2267
1490294887.3059840202,1490294887.3082640171, -1.2991,  0.2295, -0.1289, -3.5400, -1.3275, -4.2267
1490294887.3083350658,1490294887.3106129169, -1.1184,  0.2295, -0.1289, -3.3264, -1.0834, -4.8523
1490294887.3106830120,1490294887.3131389618, -1.1184,  0.2295, -0.1289, -3.3264, -1.0834, -4.8523
1490294887.3132100105,1490294887.3155059814, -1.1184,  0.2295, -0.1289, -3.3264, -1.0834, -4.8523
1490294887.3155760765,1490294887.3178870678, -1.1184,  0.2295, -0.1289, -3.3264, -1.0834, -4.8523
1490294887.3179569244,1490294887.3202390671, -1.1184,  0.2295, -0.1289, -3.3264, -1.0834, -4.8370
1490294887.3203079700,1490294887.3233809471, -1.1184,  0.2295, -0.1289, -3.4332, -1.0986, -4.8370
1490294887.3234529495,1490294887.3257339001, -1.1184,  0.2295, -0.1289, -3.4332, -1.0986, -4.8370
1490294887.3258039951,1490294887.3283779621, -1.1184,  0.2295, -0.1121, -3.4332, -1.0986, -4.8370
1490294887.3284490108,1490294887.3309450150, -1.1240,  0.2271, -0.1121, -3.4332, -1.0986, -4.1962
1490294887.3310179710,1490294887.3333699703, -1.1240,  0.2271, -0.1121, -4.0588, -1.1597, -4.1962
1490294887.3334419727,1490294887.3357160091, -1.1240,  0.2271, -0.1121, -4.0588, -1.1597, -4.1962
1490294887.3357861042,1490294887.3380680084, -1.1240,  0.2271, -0.1121, -4.0588, -1.1597, -4.1962
1490294887.3381381035,1490294887.3405790329, -1.1240,  0.2271, -0.1121, -4.0588, -1.1597, -4.1962
1490294887.3406510353,1490294887.3431270123, -1.1240,  0.2271, -0.1121, -3.7994, -0.6409, -4.8981
1490294887.3431999683,1490294887.3455960751, -1.1240,  0.2271, -0.1121, -3.7994, -0.6409, -4.8981
1490294887.3456680775,1490294887.3480980396, -1.1240,  0.2271, -0.1340, -3.7994, -0.6409, -4.8981
1490294887.3481690884,1490294887.3505609035, -1.1201,  0.2224, -0.1340, -3.7994, -0.6409, -4.8981
1490294887.3506309986,1490294887.3530249596, -1.1201,  0.2224, -0.1340, -3.1738, -0.8240, -4.8676
1490294887.3530960083,1490294887.3554620743, -1.1201,  0.2224, -0.1340, -3.1738, -0.8240, -4.8676
1490294887.3555319309,1490294887.3578999043, -1.1201,  0.2224, -0.1340, -3.1738, -0.8240, -4.8676
1490294887.3579709530,1490294887.3603379726, -1.1201,  0.2224, -0.1340, -3.1738, -0.8240, -4.8676
1490294887.3604080677,1490294887.3628170490, -1.1201,  0.2224, -0.1340, -3.1738, -1.2054, -4.4861
1490294887.3628869057,1490294887.3651719093, -1.1201,  0.2224, -0.1340, -3.7994, -1.2054, -4.4861
1490294887.3652410507,1490294887.3675210476, -1.1201,  0.2224, -0.1340, -3.7994, -1.2054, -4.4861
1490294887.3675899506,1490294887.3698759079, -1.1243,  0.2344, -0.1162, -3.7994, -1.2054, -4.4861
1490294887.3699460030,1490294887.3722989559, -1.1243,  0.2344, -0.1162, -3.7994, -1.2054, -4.4861
1490294887.3723700047,1490294887.3746531010, -1.1243,  0.2344, -0.1162, -3.7231, -1.3733, -4.4556
1490294887.3747229576,1490294887.3770020008, -1.1243,  0.2344, -0.1162, -3.7231, -1.3733, -4.4556
1490294887.3770720959,1490294887.3793520927, -1.1243,  0.2344, -0.1162, -3.7231, -1.3733, -4.4556
1490294887.3794209957,1490294887.3817019463, -1.1243,  0.2344, -0.1162, -3.7231, -1.3733, -4.4556
1490294887.3817720413,1490294887.3842339516, -1.1243,  0.2344, -0.1162, -3.5706, -0.8240, -5.1117
1490294887.3843059540,1490294887.3865940571, -1.1243,  0.2344, -0.1162, -3.5706, -0.8240, -5.1117
1490294887.3866651058,1490294887.3889510632, -1.1233,  0.2266, -0.1101, -3.5706, -0.8240, -5.1117
1490294887.3890221119,1490294887.3913090229, -1.1233,  0.2266, -0.1101, -3.5706, -0.8240, -5.1117
1490294887.3913800716,1490294887.3938090801, -1.1233,  0.2266, -0.1101, -3.5706, -0.8240, -5.1117
1490294887.3938798904,1490294887.3961639404, -1.1233,  0.2266, -0.1101, -3.6621, -0.9918, -4.8370
1490294887.3962349892,1490294887.3985190392, -1.1233,  0.2266, -0.1101, -3.6621, -0.9918, -4.8370
1490294887.3985900879,1490294887.4008789062, -1.1233,  0.2266, -0.1101, -3.6621, -0.9918, -4.8370
1490294887.4009499550,1490294887.4034209251, -1.1233,  0.2266, -0.1101, -3.6621, -0.9918, -4.8370
1490294887.4034938812,1490294887.4058630466, -1.1233,  0.2266, -0.1101, -3.7994, -0.7019, -5.4016
1490294887.4060750008,1490294887.4085800648, -1.1233,  0.2266, -0.1069, -3.7994, -0.7019, -5.4016
1490294887.4086520672,1490294887.4110639095, -1.1218,  0.2344, -0.1069, -3.7994, -0.7019, -5.4016
1490294887.4111349583,1490294887.4135439396, -1.1218,  0.2344, -0.1069, -3.7994, -0.7019, -5.4016
1490294887.4136149883,1490294887.4160230160, -1.1218,  0.2344, -0.1069, -4.0894, -0.8545, -5.8899
1490294887.4160950184,1490294887.4185059071, -1.1218,  0.2344, -0.1069, -4.0894, -0.8545, -5.8899
1490294887.4185779095,1490294887.4209909439, -1.1218,  0.2344, -0.1069, -4.0894, -0.8545, -5.8899
1490294887.4210619926,1490294887.4235620499, -1.1218,  0.2344, -0.1069, -4.0894, -0.8545, -5.8899
1490294887.4236330986,1490294887.4259099960, -1.1218,  0.2344, -0.1069, -4.0894, -0.8545, -5.6000
1490294887.4259819984,1490294887.4288959503, -1.1218,  0.2344, -0.0999, -3.7842, -1.1597, -5.6000
1490294887.4289679527,1490294887.4312529564, -1.1167,  0.2278, -0.0999, -3.7842, -1.1597, -5.6000
1490294887.4313220978,1490294887.4337139130, -1.1167,  0.2278, -0.0999, -3.7842, -1.1597, -5.6000
1490294887.4337849617,1490294887.4361960888, -1.1167,  0.2278, -0.0999, -3.7842, -1.1597, -5.6000
1490294887.4362668991,1490294887.4386780262, -1.1167,  0.2278, -0.0999, -3.9368, -0.3052, -4.8523
1490294887.4387490749,1490294887.4411590099, -1.1167,  0.2278, -0.0999, -3.9368, -0.3052, -4.8523
1490294887.4412310123,1490294887.4435799122, -1.1167,  0.2278, -0.0999, -3.9368, -0.3052, -4.8523
1490294887.4436519146,1490294887.4459369183, -1.1167,  0.2278, -0.0999, -3.9368, -0.3052, -4.8523
1490294887.4460079670,1490294887.4482889175, -1.1167,  0.2278, -0.1184, -3.7689, -0.0153, -4.8676
1490294887.4483609200,1490294887.4506399632, -1.1189,  0.2214, -0.1184, -3.7689, -0.0153, -4.8676
1490294887.4507110119,1490294887.4530189037, -1.1189,  0.2214, -0.1184, -3.7689, -0.0153, -4.8676
1490294887.4530899525,1490294887.4553740025, -1.1189,  0.2214, -0.1184, -3.7689, -0.0153, -4.8676
1490294887.4554450512,1490294887.4577240944, -1.1189,  0.2214, -0.1184, -3.7689, -0.0153, -4.2725
1490294887.4577949047,1490294887.4600780010, -1.1189,  0.2214, -0.1184, -4.1351, -0.2594, -4.2725
1490294887.4601490498,1490294887.4626529217, -1.1189,  0.2214, -0.1184, -4.1351, -0.2594, -4.2725
1490294887.4627261162,1490294887.4650099277, -1.1189,  0.2214, -0.1184, -4.1351, -0.2594, -4.2725
1490294887.4650809765,1490294887.4673600197, -1.1189,  0.2214, -0.1184, -4.1351, -0.2594, -4.2725
1490294887.4674320221,1490294887.4697070122, -1.1367,  0.2161, -0.1328, -3.8300, -0.0916, -3.7537
