P_i,P_t,P_v,T_i,T_t,T_v
715,1490294889.0604925156,196.777298,836,1490294889.3577818871,-370.269806
909,1490294889.5373415947,231.841995,1261,1490294890.4046449661,-370.422394
1342,1490294890.6040854454,235.076904,1844,1490294891.8405408859,-162.490799
2205,1490294892.7306015491,201.721207,2333,1490294893.0452175140,-375.885010
2631,1490294893.7756185532,207.885696,2751,1490294894.0720343590,-363.037109
3087,1490294894.8966124058,183.975204,3207,1490294895.1920800209,-344.940186
3541,1490294896.0154795647,220.626801,3662,1490294896.3122680187,-376.892090
3963,1490294897.0522863865,215.621902,4084,1490294897.3494694233,-374.542206
4157,1490294897.5294804573,228.759796,4517,1490294898.4164738655,-340.850800
4616,1490294898.6599445343,192.321793,5144,1490294899.9580488205,-148.849503
5483,1490294900.7944102287,199.829102,5599,1490294901.0792820454,-370.605499
5912,1490294901.8500604630,206.863403,6029,1490294902.1374750137,-350.097687
6131,1490294902.3901596069,208.450302,6617,1490294903.5837268829,-206.558197
6953,1490294904.4088034630,200.302094,7070,1490294904.6958985329,-406.051605
7148,1490294904.8855559826,228.607193,7492,1490294905.7303090096,-402.984589
7569,1490294905.9202718735,249.725296,7904,1490294906.7451579571,-382.019012
7981,1490294906.9345874786,228.485107,8326,1490294907.7806489468,-399.459808
8615,1490294908.4986624718,224.380493,8731,1490294908.7847490311,-397.247314
8805,1490294908.9661498070,241.455093,9146,1490294909.8007588387,-366.653412
9231,1490294910.0101399422,209.213303,9786,1490294911.3756060600,-143.798798
10120,1490294912.1991906166,209.747299,10232,1490294912.4752025604,-376.754791
10314,1490294912.6762123108,236.846893,10662,1490294913.5316255093,-346.633911
10752,1490294913.7530536652,209.899902,11321,1490294915.1489257812,-134.216293
11720,1490294916.1315813065,212.127701,11840,1490294916.4258966446,-392.929108
11914,1490294916.6079280376,242.416397,12259,1490294917.4537129402,-394.302399
12335,1490294917.6418585777,230.041504,12668,1490294918.4580435753,-390.548706
12749,1490294918.6572556496,216.323898,13089,1490294919.4930415154,-386.154205
13162,1490294919.6724410057,249.252304,13492,1490294920.4861283302,-386.321991
13569,1490294920.6761898994,232.147202,13915,1490294921.5233964920,-365.920990
14001,1490294921.7328100204,217.468307,14521,1490294923.0122754574,-191.680893
14865,1490294923.8576850891,206.222504,14985,1490294924.1527719498,-380.828888
15284,1490294924.8840875626,221.832306,15399,1490294925.1673960686,-370.788605
15472,1490294925.3472969532,226.226807,15907,1490294926.4158370495,-139.404297
16224,1490294927.1973924637,212.234497,16344,1490294927.4933304787,-408.019989
16413,1490294927.6633765697,222.381607,16748,1490294928.4869966507,-388.458313
16821,1490294928.6665949821,214.752197,17153,1490294929.4806959629,-392.334015
17231,1490294929.6724646091,251.052902,17561,1490294930.4855434895,-393.554688
17634,1490294930.6649110317,264.633209,17965,1490294931.4789495468,-392.593414
18038,1490294931.6595275402,266.571014,18368,1490294932.4725213051,-382.202087
18450,1490294932.6738564968,212.814301,18800,1490294933.5304241180,-349.807709
