timestamp_before,timestamp_after,accel_x,accel_y,accel_z,gyro_x,gyro_y,gryo_z
1490293564.4016420841,1490293564.4041039944, -1.3687,  0.0181, -0.0732, -6.7596, -2.5330, -6.7902
1490293564.4042410851,1490293564.4065239429, -1.3687,  0.0181, -0.0732, -6.7596, -2.5330, -6.7902
1490293564.4065949917,1490293564.4088809490, -1.3687,  0.0181, -0.0732, -7.3700, -3.3722, -7.4158
1490293564.4089510441,1490293564.4112319946, -1.3687,  0.0181, -0.0732, -7.3700, -3.3722, -7.4158
1490293564.4113020897,1490293564.4135940075, -1.3687,  0.0181, -0.0732, -7.3700, -3.3722, -7.4158
1490293564.4136650562,1490293564.4159460068, -1.1541,  0.0164, -0.0835, -7.3700, -3.3722, -7.4158
1490293564.4160170555,1490293564.4185390472, -1.1541,  0.0164, -0.0835, -7.3700, -3.6011, -8.0414
1490293564.4186129570,1490293564.4208910465, -1.1541,  0.0164, -0.0835, -7.9193, -3.6011, -8.0414
1490293564.4209620953,1490293564.4232521057, -1.1541,  0.0164, -0.0835, -7.9193, -3.6011, -8.0414
1490293564.4233229160,1490293564.4256079197, -1.1541,  0.0164, -0.0835, -7.9193, -3.6011, -8.0414
1490293564.4256780148,1490293564.4279570580, -1.1541,  0.0164, -0.0835, -7.9193, -3.6011, -8.0414
1490293564.4280290604,1490293564.4303100109, -1.1541,  0.0164, -0.0835, -8.4076, -3.1128, -8.0109
1490293564.4303820133,1490293564.4327011108, -1.1541,  0.0164, -0.0835, -8.4076, -3.1128, -8.0109
1490293564.4327719212,1490293564.4350490570, -1.1541,  0.0149, -0.0823, -8.4076, -3.1128, -8.0109
1490293564.4351210594,1490293564.4374101162, -1.1506,  0.0149, -0.0823, -8.4076, -3.1128, -8.0109
1490293564.4374809265,1490293564.4397640228, -1.1506,  0.0149, -0.0823, -8.4076, -3.5248, -8.3618
1490293564.4398350716,1490293564.4421150684, -1.1506,  0.0149, -0.0823,-10.4980, -3.5248, -8.3618
1490293564.4421899319,1490293564.4444720745, -1.1506,  0.0149, -0.0823,-10.4980, -3.5248, -8.3618
1490293564.4445469379,1490293564.4468300343, -1.1506,  0.0149, -0.0823,-10.4980, -3.5248, -8.3618
1490293564.4469039440,1490293564.4491789341, -1.1506,  0.0149, -0.0823,-10.4980, -3.5248, -8.3618
1490293564.4492530823,1490293564.4515419006, -1.1506,  0.0149, -0.0823,-10.8032, -3.5248, -8.4229
1490293564.4516160488,1490293564.4539570808, -1.1506,  0.0149, -0.0823,-10.8032, -3.5248, -8.4229
1490293564.4540319443,1490293564.4563200474, -1.1453,  0.0066, -0.0947,-10.8032, -3.5248, -8.4229
1490293564.4563949108,1490293564.4586799145, -1.1453,  0.0066, -0.0947,-10.8032, -3.5248, -8.4229
1490293564.4587550163,1490293564.4610340595, -1.1453,  0.0066, -0.0947, -9.7961, -3.4790, -8.4839
1490293564.4611060619,1490293564.4634020329, -1.1453,  0.0066, -0.0947, -9.7961, -3.4790, -8.4839
