timestamp_before,timestamp_after,accel_x,accel_y,accel_z,gyro_x,gyro_y,gryo_z
1490284080.8706090450,1490284080.8729460239, -7.0029, -1.5139, -7.9980, -1.2817, -0.4120,  0.0458
1490284080.8730781078,1490284080.8753669262, -7.0029, -1.5139, -7.9980, -1.2817, -0.4120,  0.0458
1490284080.8754389286,1490284080.8784980774, -1.1174,  0.2231, -0.1858, -1.2817, -0.4120,  0.0458
1490284080.8785760403,1490284080.8810470104, -1.1174,  0.2231, -0.1858,-55.2826,-114.6698,  1.0223
1490284080.8811259270,1490284080.8835399151, -1.1174,  0.2231, -0.1858,-55.2826,-114.6698,  1.0223
1490284080.8836169243,1490284080.8859009743, -1.1174,  0.2231, -0.1858,-55.2826,-114.6698,  1.0223
1490284080.8859760761,1490284080.8882589340, -1.1174,  0.2231, -0.1858,-55.2826,-114.6698,  1.0223
1490284080.8883349895,1490284080.8906180859, -1.1174,  0.2231, -0.1858,-55.2826,-200.6073, -2.1820
1490284080.8906950951,1490284080.8931589127, -1.1174,  0.2231, -0.1858,-80.1544,-202.9419, -2.1820
1490284080.8932371140,1490284080.8955531120, -1.1174,  0.2231, -0.1858,-80.1544,-202.9419, -2.1820
1490284080.8956298828,1490284080.8979079723, -1.1099,  0.2139, -0.1814,-80.1544,-202.9419, -2.1820
1490284080.8979849815,1490284080.9002680779, -1.1099,  0.2139, -0.1814,-80.1544,-202.9419, -2.1820
1490284080.9003450871,1490284080.9027678967, -1.1099,  0.2139, -0.1814,-80.4749,-203.6438, -2.0447
1490284080.9028460979,1490284080.9051289558, -1.1099,  0.2139, -0.1814,-80.4749,-203.6438, -2.0447
1490284080.9052050114,1490284080.9074909687, -1.1099,  0.2139, -0.1814,-80.4749,-203.6438, -2.0447
1490284080.9075679779,1490284080.9098529816, -1.1099,  0.2139, -0.1814,-80.4749,-203.6438, -2.0447
1490284080.9099290371,1490284080.9124050140, -1.1099,  0.2139, -0.1814,-80.3833,-204.0100, -1.7242
1490284080.9124829769,1490284080.9148950577, -1.1099,  0.2139, -0.1814,-80.3833,-204.0100, -1.7242
1490284080.9149730206,1490284080.9173829556, -1.1099,  0.2205, -0.1873,-80.3833,-204.0100, -1.7242
1490284080.9174609184,1490284080.9198739529, -1.1152,  0.2205, -0.1873,-80.3833,-204.0100, -1.7242
1490284080.9199500084,1490284080.9223639965, -1.1152,  0.2205, -0.1873,-80.6580,-204.3152, -2.0599
1490284080.9224410057,1490284080.9248490334, -1.1152,  0.2205, -0.1873,-80.6580,-204.3152, -2.0599
1490284080.9249279499,1490284080.9273419380, -1.1152,  0.2205, -0.1873,-80.6580,-204.3152, -2.0599
1490284080.9274199009,1490284080.9298329353, -1.1152,  0.2205, -0.1873,-80.6580,-204.3152, -2.0599
1490284080.9299108982,1490284080.9323410988, -1.1152,  0.2205, -0.1873,-80.0018,-204.3304, -2.4109
1490284080.9324181080,1490284080.9348299503, -1.1152,  0.2205, -0.1873,-80.0018,-204.3304, -2.4109
1490284080.9349069595,1490284080.9373168945, -1.1152,  0.2290, -0.1892,-80.0018,-204.3304, -2.4109
1490284080.9373939037,1490284080.9398069382, -1.1084,  0.2290, -0.1892,-80.0018,-204.3304, -2.4109
1490284080.9398829937,1490284080.9423069954, -1.1084,  0.2290, -0.1892,-80.0018,-200.4242, -2.5482
1490284080.9423840046,1490284080.9447960854, -1.1084,  0.2290, -0.1892,-78.8422,-201.6907, -2.5482
1490284080.9448969364,1490284080.9474780560, -1.1084,  0.2290, -0.1892,-78.8422,-201.6907, -2.5482
1490284080.9475550652,1490284080.9498391151, -1.1084,  0.2290, -0.1892,-78.8422,-201.6907, -2.5482
1490284080.9499170780,1490284080.9523758888, -1.1084,  0.2290, -0.1892,-78.8422,-201.6907, -2.5482
1490284080.9524519444,1490284080.9547309875, -1.1084,  0.2290, -0.1892,-78.2318,-198.8068, -1.6327
1490284080.9548079967,1490284080.9570970535, -1.1084,  0.2195, -0.1902,-78.2318,-198.8068, -1.6327
1490284080.9571740627,1490284080.9596400261, -1.1008,  0.2195, -0.1902,-78.2318,-198.8068, -1.6327
1490284080.9597189426,1490284080.9620490074, -1.1008,  0.2195, -0.1902,-78.2318,-198.8068, -1.6327
1490284080.9621260166,1490284080.9645240307, -1.1008,  0.2195, -0.1902,-77.6520,-196.9910, -1.5411
1490284080.9646019936,1490284080.9669959545, -1.1008,  0.2195, -0.1902,-77.6520,-196.9910, -1.5411
1490284080.9670729637,1490284080.9694650173, -1.1008,  0.2195, -0.1902,-77.6520,-196.9910, -1.5411
1490284080.9695420265,1490284080.9719390869, -1.1008,  0.2195, -0.1902,-77.6520,-196.9910, -1.5411
