timestamp_before,timestamp_after,accel_x,accel_y,accel_z,gyro_x,gyro_y,gryo_z
1489428060.2697250843,1489428060.2721879482, -1.1333, -0.0671,  0.0066, -5.0659, -0.7935, -4.1351
1489428060.2723259926,1489428060.2746160030, -1.1333, -0.0671,  0.0066, -5.0659, -0.7935, -4.1351
1489428060.2746889591,1489428060.2769761086, -1.1458, -0.0691,  0.0066, -5.0659, -0.7935, -4.1351
1489428060.2770481110,1489428060.2794098854, -1.1458, -0.0691,  0.0066, -5.0659, -0.7935, -4.2267
1489428060.2794830799,1489428060.2817931175, -1.1458, -0.0691,  0.0066, -5.4932, -0.2289, -4.2267
1489428060.2818648815,1489428060.2841429710, -1.1458, -0.0691,  0.0066, -5.4932, -0.2289, -4.2267
1489428060.2842149734,1489428060.2864921093, -1.1458, -0.0691,  0.0066, -5.4932, -0.2289, -4.2267
1489428060.2865641117,1489428060.2891819477, -1.1323, -0.0669,  0.0181, -5.4932, -0.2289, -4.2267
1489428060.2892549038,1489428060.2915511131, -1.1323, -0.0669,  0.0181, -4.8523, -0.9308, -3.7384
1489428060.2916240692,1489428060.2939069271, -1.1323, -0.0669,  0.0181, -4.8523, -0.9308, -3.7384
1489428060.2939779758,1489428060.2962620258, -1.1323, -0.0669,  0.0181, -4.8523, -0.9308, -3.7384
1489428060.2963318825,1489428060.2986729145, -1.1323, -0.0669,  0.0181, -4.8523, -0.9308, -3.7384
1489428060.2987530231,1489428060.3010659218, -1.1323, -0.0669,  0.0181, -4.8523, -1.2817, -3.7842
1489428060.3011360168,1489428060.3034191132, -1.1323, -0.0669,  0.0181, -4.7760, -1.2817, -3.7842
1489428060.3034899235,1489428060.3057749271, -1.1323, -0.0669,  0.0181, -4.7760, -1.2817, -3.7842
1489428060.3058450222,1489428060.3081319332, -1.1343, -0.0667,  0.0002, -4.7760, -1.2817, -3.7842
1489428060.3082020283,1489428060.3105919361, -1.1343, -0.0667,  0.0002, -4.7760, -1.2817, -3.7842
1489428060.3106629848,1489428060.3130390644, -1.1343, -0.0667,  0.0002, -4.6844, -1.1749, -3.5248
