P_i,P_t,P_v,T_i,T_t,T_v
1200,1490284083.8189458847,-0.192100,1624,1490284084.8597164154,-2.746300
1665,1490284084.9607639313,0.477500,2064,1490284085.9430634975,-3.040500
2112,1490284086.0610113144,-0.154100,2519,1490284087.0629060268,-3.246100
2584,1490284087.2229251862,-0.173100,3570,1490284089.6485123634,-2.570100
3610,1490284089.7468185425,-0.313500,3716,1490284090.0072059631,-3.017600
4041,1490284090.8086814880,-0.226100,4424,1490284091.7502934933,-2.918500
4465,1490284091.8515574932,-0.098100,4847,1490284092.7932870388,-3.077600
4887,1490284092.8920655251,0.389600,4993,1490284093.1530115604,-3.024400
5066,1490284093.3326711655,-0.947500,5262,1490284093.8155856133,-2.964600
5302,1490284093.9141221046,-0.001500,5694,1490284094.8768069744,-3.168700
5734,1490284094.9755980968,0.245100,5832,1490284095.2171695232,-2.830100
6190,1490284096.0980567932,0.611600,6833,1490284097.6809685230,-2.885000
7125,1490284098.4011883736,0.398900,7517,1490284099.3636219501,-2.980000
7558,1490284099.4644393921,0.510300,7656,1490284099.7041463852,-2.785600
8340,1490284101.3887319565,-0.328100,8787,1490284102.4901123047,-2.888200
8852,1490284102.6499145031,-0.359100,8974,1490284102.9512000084,-3.144300
9266,1490284103.6713905334,-0.291500,9339,1490284103.8521184921,-2.997800
9412,1490284104.0320920944,-0.902800,9616,1490284104.5324454308,-3.018300
9681,1490284104.6922855377,-0.320300,9755,1490284104.8749780655,-3.112800
9779,1490284104.9337995052,-1.047600,9803,1490284104.9927616119,-3.177500
9836,1490284105.0740425587,-0.942400,10032,1490284105.5561280251,-2.978300
10064,1490284105.6343069077,0.072800,10171,1490284105.8967113495,-3.021700
10244,1490284106.0760331154,-0.963100,10447,1490284106.5764446259,-3.085900
10479,1490284106.6558780670,0.180900,10585,1490284106.9166336060,-2.887700
10894,1490284107.6780128479,0.678500,11282,1490284108.6401114464,-2.949700
11323,1490284108.7397470474,0.253900,11406,1490284108.9424858093,-2.980700
