timestamp_before,timestamp_after,accel_x,accel_y,accel_z,gyro_x,gyro_y,gryo_z
1491516541.6588129997,1491516541.6616029739, -1.1394, -0.0708, -0.0269, -9.3536, -1.0223, -3.1281
1491516541.6617391109,1491516541.6640260220, -1.1394, -0.0830, -0.0693,-10.0403, -1.1749, -3.1281
1491516541.6641020775,1491516541.6663849354, -1.3408, -0.0830, -0.0693,-10.0403, -1.1749, -3.1281
1491516541.6664578915,1491516541.6688370705, -1.3408, -0.0830, -0.0693,-10.0403, -1.1749, -3.1281
1491516541.6689109802,1491516541.6711909771, -1.3408, -0.0830, -0.0693,-10.0403, -1.1749, -3.1281
1491516541.6712629795,1491516541.6736149788, -1.3408, -0.0830, -0.0693,-10.6506, -1.1749, -4.1656
1491516541.6736879349,1491516541.6759729385, -1.3408, -0.0830, -0.0554,-10.6506, -1.1749, -4.1656
1491516541.6760449409,1491516541.6783258915, -1.1462, -0.0588, -0.0554,-10.6506, -1.1749, -4.1656
1491516541.6783978939,1491516541.6807100773, -1.1462, -0.0588, -0.0554,-10.6506, -1.1749, -4.1656
1491516541.6807820797,1491516541.6831169128, -1.1462, -0.0588, -0.0554,-10.6506, -1.7395, -4.4098
1491516541.6831889153,1491516541.6854689121, -1.1462, -0.0588, -0.0554,-10.4675, -1.7395, -4.4098
1491516541.6855421066,1491516541.6878809929, -1.1462, -0.0588, -0.0554,-10.4675, -1.7395, -4.4098
1491516541.6879630089,1491516541.6903839111, -1.1462, -0.0588, -0.0554,-10.4675, -1.7395, -4.4098
1491516541.6904599667,1491516541.6928529739, -1.1462, -0.0588, -0.0554,-10.4675, -1.7395, -4.4098
1491516541.6929259300,1491516541.6952030659, -1.1462, -0.0588, -0.0554, -9.5215, -1.4801, -5.0507
1491516541.6952719688,1491516541.6975560188, -1.1433, -0.0505, -0.0266, -9.5215, -1.4801, -5.0507
1491516541.6976261139,1491516541.6999080181, -1.1433, -0.0505, -0.0266, -9.5215, -1.4801, -5.0507
1491516541.6999781132,1491516541.7024159431, -1.1433, -0.0505, -0.0266, -9.5215, -1.4801, -5.0507
1491516541.7024860382,1491516541.7049040794, -1.1433, -0.0505, -0.0266, -9.2468, -1.8158, -5.7220
1491516541.7049729824,1491516541.7073800564, -1.1433, -0.0505, -0.0266, -9.2468, -1.8158, -5.7220
1491516541.7074499130,1491516541.7098660469, -1.1433, -0.0505, -0.0266, -9.2468, -1.8158, -5.7220
1491516541.7099359035,1491516541.7123548985, -1.1433, -0.0505, -0.0266, -9.2468, -1.8158, -5.7220
1491516541.7124249935,1491516541.7148349285, -1.1433, -0.0505, -0.0266, -9.2468, -2.1210, -5.6458
1491516541.7149050236,1491516541.7173240185, -1.1462, -0.0652, -0.0232, -9.3689, -2.1210, -5.6458
1491516541.7173950672,1491516541.7198030949, -1.1462, -0.0652, -0.0232, -9.3689, -2.1210, -5.6458
1491516541.7198729515,1491516541.7222959995, -1.1462, -0.0652, -0.0232, -9.3689, -2.1210, -5.6458
1491516541.7223660946,1491516541.7246589661, -1.1462, -0.0652, -0.0232, -9.3689, -2.1210, -5.6458
1491516541.7247290611,1491516541.7270119190, -1.1462, -0.0652, -0.0232, -8.5754, -1.9836, -5.0201
1491516541.7270801067,1491516541.7293720245, -1.1462, -0.0652, -0.0232, -8.5754, -1.9836, -5.0201
1491516541.7294409275,1491516541.7317450047, -1.1462, -0.0652, -0.0232, -8.5754, -1.9836, -5.0201
1491516541.7318150997,1491516541.7341001034, -1.1462, -0.0652, -0.0232, -8.5754, -1.9836, -5.0201
1491516541.7341680527,1491516541.7364599705, -1.1462, -0.0833, -0.0283, -9.2010, -1.8921, -4.8523
1491516541.7365300655,1491516541.7388141155, -1.1460, -0.0833, -0.0283, -9.2010, -1.8921, -4.8523
1491516541.7388839722,1491516541.7411699295, -1.1460, -0.0833, -0.0283, -9.2010, -1.8921, -4.8523
1491516541.7412390709,1491516541.7439880371, -1.1460, -0.0833, -0.0283, -9.2010, -1.8921, -4.8523
1491516541.7440600395,1491516541.7463500500, -1.1460, -0.0833, -0.0283, -9.2010, -1.8921, -4.5013
1491516541.7464210987,1491516541.7487471104, -1.1460, -0.0833, -0.0283, -9.0332, -2.0447, -4.5013
1491516541.7488179207,1491516541.7511119843, -1.1460, -0.0833, -0.0283, -9.0332, -2.0447, -4.5013
1491516541.7511820793,1491516541.7535610199, -1.1460, -0.0833, -0.0283, -9.0332, -2.0447, -4.5013
1491516541.7536330223,1491516541.7559258938, -1.1460, -0.0833,  0.0115, -9.0332, -2.0447, -4.5013
