timestamp_before,timestamp_after,accel_x,accel_y,accel_z,gyro_x,gyro_y,gryo_z
1491516655.1895279884,1491516655.1923038960, -1.1394, -0.0972, -0.1602, -4.9286, -1.7853, -4.2419
1491516655.1924359798,1491516655.1947190762, -1.1394, -0.0972, -0.1602, -6.0425, -2.0905, -3.9368
1491516655.1947910786,1491516655.1970748901, -1.1389, -0.0928, -0.1418, -6.0425, -2.0905, -3.9368
1491516655.1971440315,1491516655.1994280815, -1.1389, -0.0928, -0.1418, -6.0425, -2.0905, -3.9368
1491516655.1994969845,1491516655.2017970085, -1.1389, -0.0928, -0.1418, -6.0425, -2.0905, -3.9368
1491516655.2018659115,1491516655.2041540146, -1.1389, -0.0928, -0.1418, -6.0425, -2.3193, -3.8147
1491516655.2042241096,1491516655.2065050602, -1.1389, -0.0928, -0.1418, -6.2561, -2.3193, -3.8147
1491516655.2065739632,1491516655.2088599205, -1.1389, -0.0928, -0.1418, -6.2561, -2.3193, -3.8147
1491516655.2089290619,1491516655.2117650509, -1.1389, -0.0928, -0.1418, -6.2561, -2.3193, -3.8147
1491516655.2118349075,1491516655.2141220570, -1.1389, -0.0928, -0.1418, -6.2561, -2.3193, -3.9062
1491516655.2141919136,1491516655.2164759636, -1.1389, -0.0916, -0.1309, -6.0120, -1.8463, -3.9062
1491516655.2165460587,1491516655.2188251019, -1.1360, -0.0916, -0.1309, -6.0120, -1.8463, -3.9062
1491516655.2188959122,1491516655.2211799622, -1.1360, -0.0916, -0.1309, -6.0120, -1.8463, -3.9062
1491516655.2212500572,1491516655.2236080170, -1.1360, -0.0916, -0.1309, -6.0120, -1.8463, -3.9062
1491516655.2236790657,1491516655.2260699272, -1.1360, -0.0916, -0.1309, -6.1340, -1.7853, -4.0436
1491516655.2261400223,1491516655.2284359932, -1.1360, -0.0916, -0.1309, -6.1340, -1.7853, -4.0436
1491516655.2285060883,1491516655.2307898998, -1.1360, -0.0916, -0.1309, -6.1340, -1.7853, -4.0436
1491516655.2308599949,1491516655.2331590652, -1.1360, -0.0916, -0.1309, -6.1340, -1.7853, -4.0436
1491516655.2332289219,1491516655.2355110645, -1.1360, -0.0916, -0.1309, -6.1340, -1.7853, -4.1504
1491516655.2355809212,1491516655.2378659248, -1.1467, -0.0869, -0.1440, -5.8594, -1.9684, -4.1504
1491516655.2379350662,1491516655.2402250767, -1.1467, -0.0869, -0.1440, -5.8594, -1.9684, -4.1504
1491516655.2402939796,1491516655.2426021099, -1.1467, -0.0869, -0.1440, -5.8594, -1.9684, -4.1504
1491516655.2426710129,1491516655.2449650764, -1.1467, -0.0869, -0.1440, -5.8594, -1.9684, -4.1504
1491516655.2450358868,1491516655.2473320961, -1.1467, -0.0869, -0.1440, -5.7831, -1.8005, -3.8757
