P_i,P_t,P_v,T_i,T_t,T_v
1342,1491516544.9570729733,138.610794,797,1491516543.6146793365,-104.568497
2173,1491516547.0071063042,190.048203,1599,1491516545.5900704861,-93.322800
2950,1491516548.9206304550,133.422897,2371,1491516547.4926128387,-80.947899
4691,1491516571.0866465569,69.671600,4605,1491516570.8744194508,-37.643398
4972,1491516571.7821559906,7.980300,4890,1491516571.5823273659,-133.575394
5261,1491516572.4901075363,211.074799,5158,1491516572.2372415066,-119.934097
5510,1491516573.1029920578,-10.452300,5433,1491516572.9136729240,-125.198402
5772,1491516573.7475981712,168.670700,5669,1491516573.4955415726,-133.194000
6030,1491516574.3825569153,2.655000,5952,1491516574.1917445660,-178.390503
6297,1491516575.0380630493,133.636505,6203,1491516574.8071019650,-112.396202
7462,1491516597.8176960945,57.235699,7372,1491516597.5954885483,-49.972500
7814,1491516598.6845414639,244.171097,7607,1491516598.1751604080,-255.691498
7946,1491516599.0102424622,-76.568604,7921,1491516598.9488043785,-220.825195
8105,1491516599.4023690224,239.852905,8058,1491516599.2867114544,-183.380096
8440,1491516600.2260646820,202.270493,8208,1491516599.6561739445,-221.771194
