S_i,S_t,S_max,S_i,S_t,S_min,period
1342,1491516544.9570729733,138.610794,797,1491516543.6146793365,-104.568497,2.050033
2173,1491516547.0071063042,190.048203,1599,1491516545.5900704861,-93.322800,1.913524
2950,1491516548.9206304550,133.422897,2371,1491516547.4926128387,-80.947899,22.166016
4691,1491516571.0866465569,69.671600,4605,1491516570.8744194508,-37.643398,1.403461
5261,1491516572.4901075363,211.074799,5158,1491516572.2372415066,-119.934097,1.257491
5772,1491516573.7475981712,168.670700,5669,1491516573.4955415726,-133.194000,1.290465
6297,1491516575.0380630493,133.636505,6203,1491516574.8071019650,-112.396202,22.779633
7462,1491516597.8176960945,57.235699,7372,1491516597.5954885483,-49.972500,0.866845
7814,1491516598.6845414639,244.171097,7607,1491516598.1751604080,-255.691498,1.541523
8440,1491516600.2260646820,202.270493,8208,1491516599.6561739445,-221.771194,1.541523
