timestamp_before,timestamp_after,accel_x,accel_y,accel_z,gyro_x,gyro_y,gryo_z
1491835910.3551969528,1491835910.3575270176, -1.3525, -0.1655, -0.0698, -4.4556, -2.6093, -3.6469
1491835910.3576579094,1491835910.3599441051, -1.3525, -0.1655, -0.0698, -4.4556, -2.6093, -3.6469
1491835910.3600149155,1491835910.3622939587, -1.3525, -0.1655, -0.0698, -4.4556, -2.6093, -3.6469
1491835910.3623631001,1491835910.3646440506, -1.1199, -0.1389, -0.0496, -4.4556, -2.6093, -3.6469
1491835910.3647139072,1491835910.3670020103, -1.1199, -0.1389, -0.0496, -4.6997, -3.0060, -4.1656
1491835910.3670721054,1491835910.3695189953, -1.1199, -0.1389, -0.0496, -4.6997, -3.0060, -4.1656
1491835910.3695900440,1491835910.3718729019, -1.1199, -0.1389, -0.0496, -4.6997, -3.0060, -4.1656
1491835910.3719429970,1491835910.3742311001, -1.1199, -0.1389, -0.0496, -4.6997, -3.0060, -4.1656
1491835910.3743019104,1491835910.3765850067, -1.1199, -0.1389, -0.0496, -4.6997, -3.0060, -4.1656
1491835910.3766551018,1491835910.3789811134, -1.1199, -0.1389, -0.0496, -3.9673, -2.5940, -4.7760
1491835910.3790509701,1491835910.3813369274, -1.1199, -0.1389, -0.0496, -3.9673, -2.5940, -4.7760
1491835910.3814070225,1491835910.3836851120, -1.1824, -0.1201, -0.0542, -3.9673, -2.5940, -4.7760
1491835910.3837559223,1491835910.3862800598, -1.1316, -0.1201, -0.0542, -3.9673, -2.5940, -4.7760
1491835910.3863530159,1491835910.3887441158, -1.1316, -0.1201, -0.0542, -4.6387, -2.1057, -4.5624
1491835910.3888139725,1491835910.3911120892, -1.1316, -0.1201, -0.0542, -4.6387, -2.1057, -4.5624
1491835910.3911819458,1491835910.3934741020, -1.1316, -0.1201, -0.0542, -4.6387, -2.1057, -4.5624
1491835910.3935430050,1491835910.3958311081, -1.1316, -0.1201, -0.0542, -4.6387, -2.1057, -4.5624
1491835910.3959009647,1491835910.3986029625, -1.1316, -0.1201, -0.0542, -4.6387, -2.2278, -5.0507
1491835910.3986821175,1491835910.4019570351, -1.1316, -0.1201, -0.0542, -4.8676, -2.2278, -5.0507
1491835910.4020349979,1491835910.4050109386, -1.1289, -0.1392, -0.0466, -4.8676, -2.2278, -5.0507
1491835910.4050879478,1491835910.4075000286, -1.1289, -0.1392, -0.0466, -4.8676, -2.2278, -5.0507
1491835910.4075720310,1491835910.4099750519, -1.1289, -0.1392, -0.0466, -4.3793, -2.5024, -5.0201
1491835910.4100449085,1491835910.4130709171, -1.1289, -0.1392, -0.0466, -4.3793, -2.5024, -5.0201
1491835910.4131441116,1491835910.4154200554, -1.1289, -0.1392, -0.0466, -4.3793, -2.5024, -5.0201
1491835910.4154911041,1491835910.4178209305, -1.1289, -0.1392, -0.0466, -4.3793, -2.5024, -5.0201
1491835910.4178900719,1491835910.4201710224, -1.1289, -0.1392, -0.0466, -4.1962, -2.3193, -4.0436
1491835910.4202399254,1491835910.4225180149, -1.1289, -0.1392, -0.0466, -4.1962, -2.3193, -4.0436
1491835910.4225881100,1491835910.4248659611, -1.1379, -0.1572, -0.0544, -4.1962, -2.3193, -4.0436
1491835910.4249351025,1491835910.4273478985, -1.1379, -0.1572, -0.0544, -4.1962, -2.3193, -4.0436
1491835910.4274170399,1491835910.4296979904, -1.1379, -0.1572, -0.0544, -4.1962, -2.3193, -3.7842
1491835910.4297668934,1491835910.4320468903, -1.1379, -0.1572, -0.0544, -4.2267, -2.2430, -3.7842
1491835910.4321160316,1491835910.4343950748, -1.1379, -0.1572, -0.0544, -4.2267, -2.2430, -3.7842
1491835910.4344639778,1491835910.4367439747, -1.1379, -0.1572, -0.0544, -4.2267, -2.2430, -3.7842
1491835910.4368131161,1491835910.4392340183, -1.1379, -0.1572, -0.0544, -4.2267, -2.2430, -3.7842
1491835910.4393041134,1491835910.4415829182, -1.1379, -0.1572, -0.0544, -4.6387, -3.5706, -4.0436
1491835910.4416520596,1491835910.4439280033, -1.1379, -0.1577, -0.0676, -4.6387, -3.5706, -4.0436
1491835910.4439969063,1491835910.4462790489, -1.1313, -0.1577, -0.0676, -4.6387, -3.5706, -4.0436
1491835910.4463479519,1491835910.4487159252, -1.1313, -0.1577, -0.0676, -4.6387, -3.5706, -4.0436
1491835910.4487860203,1491835910.4511749744, -1.1313, -0.1577, -0.0676, -4.6387, -3.5706, -4.1351
1491835910.4512450695,1491835910.4536321163, -1.1313, -0.1577, -0.0676, -4.3030, -3.2501, -4.1351
