timestamp_before,timestamp_after,accel_x,accel_y,accel_z,gyro_x,gyro_y,gryo_z
1491516514.6102728844,1491516514.6129369736, -1.3442, -0.1746, -0.2041, -5.2185, -0.9308, -4.5319
1491516514.6130750179,1491516514.6153559685, -1.3442, -0.1746, -0.2041, -5.4932, -1.1597, -4.4403
1491516514.6154251099,1491516514.6177020073, -1.3442, -0.1746, -0.2041, -5.4932, -1.1597, -4.4403
1491516514.6177709103,1491516514.6200509071, -1.1306, -0.1433, -0.1643, -5.4932, -1.1597, -4.4403
1491516514.6201200485,1491516514.6224040985, -1.1306, -0.1433, -0.1643, -5.4932, -1.1597, -4.4403
1491516514.6224720478,1491516514.6247549057, -1.1306, -0.1433, -0.1643, -5.5389, -1.0529, -4.4708
1491516514.6248240471,1491516514.6270999908, -1.1306, -0.1433, -0.1643, -5.5389, -1.0529, -4.4708
1491516514.6271688938,1491516514.6301250458, -1.1306, -0.1433, -0.1643, -5.5389, -1.0529, -4.4708
1491516514.6301949024,1491516514.6325609684, -1.1306, -0.1433, -0.1643, -5.5389, -1.0529, -4.4708
1491516514.6326289177,1491516514.6349749565, -1.1306, -0.1433, -0.1643, -5.5389, -0.7477, -4.1504
1491516514.6350450516,1491516514.6373279095, -1.1306, -0.1433, -0.1643, -5.0049, -0.7477, -4.1504
1491516514.6373980045,1491516514.6396789551, -1.1248, -0.1416, -0.1470, -5.0049, -0.7477, -4.1504
1491516514.6397490501,1491516514.6420989037, -1.1248, -0.1416, -0.1470, -5.0049, -0.7477, -4.1504
1491516514.6421689987,1491516514.6444590092, -1.1248, -0.1416, -0.1470, -5.0049, -0.7477, -4.1504
1491516514.6445291042,1491516514.6468100548, -1.1248, -0.1416, -0.1470, -5.3558, -0.7629, -3.9825
1491516514.6468811035,1491516514.6491630077, -1.1248, -0.1416, -0.1470, -5.3558, -0.7629, -3.9825
1491516514.6492331028,1491516514.6516110897, -1.1248, -0.1416, -0.1470, -5.3558, -0.7629, -3.9825
