timestamp_before,timestamp_after,accel_x,accel_y,accel_z,gyro_x,gyro_y,gryo_z
1491516152.7027449608,1491516152.7053689957, -1.4131, -0.1836,  0.0071, -3.7994, -2.9755, -6.3171
1491516152.7055010796,1491516152.7077798843, -1.4131, -0.1836,  0.0071, -3.7994, -2.9755, -6.3171
1491516152.7078518867,1491516152.7101349831, -1.4131, -0.1836,  0.0071, -3.7994, -2.9755, -6.3171
1491516152.7102069855,1491516152.7125310898, -1.4131, -0.1836,  0.0071, -3.7994, -2.9755, -6.3171
1491516152.7126019001,1491516152.7148830891, -1.1328, -0.1453,  0.0212, -3.7994, -2.9755, -7.2021
1491516152.7149538994,1491516152.7172420025, -1.1328, -0.1453,  0.0212, -3.6621, -3.8605, -7.2021
1491516152.7173109055,1491516152.7195858955, -1.1328, -0.1453,  0.0212, -3.6621, -3.8605, -7.2021
1491516152.7196559906,1491516152.7219879627, -1.1328, -0.1453,  0.0212, -3.6621, -3.8605, -7.2021
1491516152.7220580578,1491516152.7243399620, -1.1328, -0.1453,  0.0212, -3.6621, -3.8605, -7.2021
1491516152.7244100571,1491516152.7266900539, -1.1328, -0.1453,  0.0212, -3.7231, -3.3112, -7.3395
1491516152.7267599106,1491516152.7290420532, -1.1328, -0.1453,  0.0212, -3.7231, -3.3112, -7.3395
1491516152.7291109562,1491516152.7315111160, -1.1328, -0.1453,  0.0212, -3.7231, -3.3112, -7.3395
1491516152.7315878868,1491516152.7338860035, -1.1328, -0.1453,  0.0024, -3.7231, -3.3112, -7.3395
1491516152.7339580059,1491516152.7362439632, -1.1387, -0.1396,  0.0024, -3.7231, -7.2174, -7.7667
1491516152.7363150120,1491516152.7385969162, -1.1387, -0.1396,  0.0024, -3.4332, -4.1199, -7.7667
1491516152.7386670113,1491516152.7409479618, -1.1387, -0.1396,  0.0024, -3.4332, -4.1199, -7.7667
1491516152.7410171032,1491516152.7433969975, -1.1387, -0.1396,  0.0024, -3.4332, -4.1199, -7.7667
1491516152.7434680462,1491516152.7457509041, -1.1387, -0.1396,  0.0024, -3.4332, -4.1199, -7.7667
1491516152.7458209991,1491516152.7481129169, -1.1387, -0.1396,  0.0024, -3.4790, -4.9133, -8.0261
1491516152.7481830120,1491516152.7504689693, -1.1387, -0.1396,  0.0024, -3.4790, -4.9133, -8.0261
1491516152.7505400181,1491516152.7531039715, -1.1387, -0.1396,  0.0024, -3.4790, -4.9133, -8.0261
1491516152.7531840801,1491516152.7554829121, -1.1492, -0.1277, -0.0256, -3.4790, -4.9133, -8.0261
1491516152.7555549145,1491516152.7578389645, -1.1492, -0.1277, -0.0256, -3.6774, -5.3558, -8.7128
1491516152.7579090595,1491516152.7601959705, -1.1492, -0.1277, -0.0256, -3.6774, -5.3558, -8.7128
1491516152.7602651119,1491516152.7626938820, -1.1492, -0.1277, -0.0256, -3.6774, -5.3558, -8.7128
1491516152.7627639771,1491516152.7651329041, -1.1492, -0.1277, -0.0256, -3.6774, -5.3558, -8.7128
1491516152.7652029991,1491516152.7681150436, -1.1492, -0.1277, -0.0256, -3.6774, -5.3558, -9.4910
1491516152.7681899071,1491516152.7704739571, -1.1492, -0.1277, -0.0256, -3.9520, -6.1646, -9.4910
1491516152.7705450058,1491516152.7730600834, -1.1492, -0.1277, -0.0256, -3.9520, -6.1646, -9.4910
1491516152.7731320858,1491516152.7754180431, -1.1575, -0.1304, -0.0083, -3.9520, -6.1646, -9.4910
1491516152.7754909992,1491516152.7777690887, -1.1575, -0.1304, -0.0083, -3.9520, -6.1646, -9.4910
1491516152.7778398991,1491516152.7801220417, -1.1575, -0.1304, -0.0083, -3.4790, -6.9122,-10.2234
1491516152.7801959515,1491516152.7825670242, -1.1575, -0.1304, -0.0083, -3.4790, -6.9122,-10.2234
1491516152.7826418877,1491516152.7850289345, -1.1575, -0.1304, -0.0083, -3.4790, -6.9122,-10.2234
1491516152.7851030827,1491516152.7874040604, -1.1575, -0.1304, -0.0083, -3.4790, -6.9122,-10.2234
1491516152.7874779701,1491516152.7897589207, -1.1575, -0.1304, -0.0083, -2.9602, -7.4921,-11.3220
1491516152.7898330688,1491516152.7921359539, -1.1575, -0.1304, -0.0083, -2.9602, -7.4921,-11.3220
1491516152.7922110558,1491516152.7945189476, -1.1709, -0.1238, -0.0105, -2.9602, -7.4921,-11.3220
1491516152.7945930958,1491516152.7968668938, -1.1709, -0.1238, -0.0105, -2.9602, -7.4921,-11.3220
1491516152.7969400883,1491516152.7992188931, -1.1709, -0.1238, -0.0105, -2.9602, -7.4921,-12.6801
1491516152.7992930412,1491516152.8015739918, -1.1709, -0.1238, -0.0105, -2.3041, -8.1787,-12.6801
1491516152.8016490936,1491516152.8039391041, -1.1709, -0.1238, -0.0105, -2.3041, -8.1787,-12.6801
