timestamp_before,timestamp_after,accel_x,accel_y,accel_z,gyro_x,gyro_y,gryo_z
1493777111.1978790760,1493777111.2029941082,  1.7341, -7.9980,  7.9980,-10.8948, -6.0120, -0.0305
1493777111.2031309605,1493777111.2072470188, -0.0010,  0.0896,  0.9792,-10.8948, -6.0120, -0.0305
1493777111.2073349953,1493777111.2106699944, -0.0010,  0.0896,  0.9792, 37.2009,  7.4158,  5.5542
1493777111.2107529640,1493777111.2130820751, -0.0010,  0.0896,  0.9792, 37.2009,  7.4158,  5.5542
1493777111.2131569386,1493777111.2154560089, -0.0010,  0.0896,  0.9792, 37.2009,  7.4158,  5.5542
1493777111.2155299187,1493777111.2178280354, -0.0010,  0.0896,  0.9792, 37.2009,  7.4158,  5.5542
1493777111.2179009914,1493777111.2202379704, -0.0010,  0.0896,  0.9792, 12.3291,-11.7340, -4.9438
1493777111.2203159332,1493777111.2226130962, -0.0010,  0.0896,  0.9792, 12.3291,-11.7340, -4.9438
1493777111.2226901054,1493777111.2253680229, -0.0010,  0.0894,  0.9695, 12.3291,-11.7340, -4.9438
1493777111.2254550457,1493777111.2281711102, -0.0024,  0.0894,  0.9695, 12.3291,-11.7340, -4.9438
1493777111.2282619476,1493777111.2324841022, -0.0024,  0.0894,  0.9695, 12.3291,-11.6730, -4.6082
1493777111.2325799465,1493777111.2348411083, -0.0024,  0.0894,  0.9695, 12.3291,-11.6730, -4.6082
1493777111.2349190712,1493777111.2406239510, -0.0024,  0.0894,  0.9695, 12.3291,-11.6730, -4.4250
1493777111.2407190800,1493777111.2430930138, -0.0024,  0.0894,  0.9695, 12.9852,-11.9324, -4.4250
1493777111.2431769371,1493777111.2454059124, -0.0051,  0.0898,  0.9644, 12.9852,-11.9324, -4.4250
1493777111.2454829216,1493777111.2477428913, -0.0051,  0.0898,  0.9644, 12.9852,-11.9324, -4.4250
1493777111.2478189468,1493777111.2501919270, -0.0051,  0.0898,  0.9644, 12.9852,-11.9324, -4.4250
1493777111.2502739429,1493777111.2525699139, -0.0051,  0.0898,  0.9644, 12.6801,-11.9629, -4.4403
1493777111.2526490688,1493777111.2549428940, -0.0051,  0.0898,  0.9644, 12.6801,-11.9629, -4.4403
1493777111.2550199032,1493777111.2573130131, -0.0051,  0.0898,  0.9644, 12.6801,-11.9629, -4.4403
1493777111.2573900223,1493777111.2596778870, -0.0051,  0.0898,  0.9644, 12.6801,-11.9629, -4.4403
1493777111.2597539425,1493777111.2621018887, -0.0051,  0.0898,  0.9644, 12.5275,-11.9324, -4.8981
1493777111.2621788979,1493777111.2644710541, -0.0051,  0.0898,  0.9644, 12.5275,-11.9324, -4.8981
1493777111.2645471096,1493777111.2668430805,  0.0010,  0.0911,  0.9568, 12.5275,-11.9324, -4.8981
1493777111.2669188976,1493777111.2692139149,  0.0010,  0.0911,  0.9568, 12.5275, 11.5051,  2.7008
1493777111.2692909241,1493777111.2715919018,  0.0010,  0.0911,  0.9568,-24.6277,  9.0485,  2.7008
1493777111.2716679573,1493777111.2739639282,  0.0010,  0.0911,  0.9568,-24.6277,  9.0485,  2.7008
1493777111.2740380764,1493777111.2763319016,  0.0010,  0.0911,  0.9568,-24.6277,  9.0485,  2.7008
1493777111.2764070034,1493777111.2787010670,  0.0010,  0.0911,  0.9568,-24.6277,  9.0485,  2.7008
1493777111.2787749767,1493777111.2812540531,  0.0010,  0.0911,  0.9568, 45.1965,-26.8402,-10.0250
1493777111.2813339233,1493777111.2836320400,  0.0010,  0.0911,  0.9568, 45.1965,-26.8402,-10.0250
1493777111.2837090492,1493777111.2860128880, -0.0032,  0.0889,  0.9592, 45.1965,-26.8402,-10.0250
1493777111.2860920429,1493777111.2883911133, -0.0032,  0.0889,  0.9592, 45.1965,-26.8402,-10.0250
1493777111.2884690762,1493777111.2907769680, -0.0032,  0.0889,  0.9592, 13.9465,-11.4594, -4.3793
1493777111.2908539772,1493777111.2931540012, -0.0032,  0.0889,  0.9592, 12.5732,-11.4594, -4.3793
1493777111.2932310104,1493777111.2955300808, -0.0032,  0.0889,  0.9592, 12.5732,-11.4594, -4.3793
1493777111.2956058979,1493777111.2981579304, -0.0032,  0.0889,  0.9592, 12.5732,-11.4594, -4.3793
1493777111.2982349396,1493777111.3007009029, -0.0032,  0.0889,  0.9592, 12.5732,-11.4594, -4.5624
1493777111.3007779121,1493777111.3031599522, -0.0032,  0.0889,  0.9592, 12.5732,-11.7340, -4.5624
1493777111.3032369614,1493777111.3056259155, -0.0032,  0.0889,  0.9561, 12.5732,-11.7340, -4.5624
1493777111.3057029247,1493777111.3081400394, -0.0024,  0.0903,  0.9561, 12.5732,-11.7340, -4.5624
1493777111.3082170486,1493777111.3106410503, -0.0024,  0.0903,  0.9561, 12.5732,-11.7340, -4.5624
1493777111.3108689785,1493777111.3132851124, -0.0024,  0.0903,  0.9561, 12.4207,-11.6730, -4.4403
1493777111.3133630753,1493777111.3157699108, -0.0024,  0.0903,  0.9561, 12.4207,-11.6730, -4.4403
1493777111.3158469200,1493777111.3182640076, -0.0024,  0.0903,  0.9561, 12.4207,-11.6730, -4.4403
1493777111.3183419704,1493777111.3207650185, -0.0024,  0.0903,  0.9561, 12.4207,-11.6730, -4.4403
1493777111.3208429813,1493777111.3232560158, -0.0024,  0.0903,  0.9561, 12.5732,-11.7188, -4.4098
1493777111.3233330250,1493777111.3257470131, -0.0024,  0.0903,  0.9504, 12.5732,-11.7188, -4.4098
1493777111.3258240223,1493777111.3282349110, -0.0044,  0.0901,  0.9504, 12.5732,-11.7188, -4.4098
1493777111.3283119202,1493777111.3307299614, -0.0044,  0.0901,  0.9504, 12.5732,-11.7188, -4.4098
1493777111.3308079243,1493777111.3331160545, -0.0044,  0.0901,  0.9504, 12.5732,-11.7188, -4.9133
1493777111.3331930637,1493777111.3354909420, -0.0044,  0.0901,  0.9504, 10.3607,-12.9547, -4.9133
1493777111.3355669975,1493777111.3379030228, -0.0044,  0.0901,  0.9504, 10.3607,-12.9547, -4.9133
1493777111.3379790783,1493777111.3403019905, -0.0044,  0.0901,  0.9504, 10.3607,-12.9547, -4.9133
1493777111.3403789997,1493777111.3426780701, -0.0044,  0.0901,  0.9504, 10.3607,-12.9547, -4.9133
1493777111.3427550793,1493777111.3450601101, -0.0044,  0.0901,  0.9504,  5.1880,-14.5111, -5.1270
1493777111.3451349735,1493777111.3474340439,  0.0032,  0.0908,  0.9465,  5.1880,-14.5111, -5.1270
1493777111.3475070000,1493777111.3498070240,  0.0032,  0.0908,  0.9465,  5.1880,-14.5111, -5.1270
1493777111.3498799801,1493777111.3523309231,  0.0032,  0.0908,  0.9465,  5.1880,-14.5111, -5.1270
1493777111.3524060249,1493777111.3548240662,  0.0032,  0.0908,  0.9465,  5.1880,-14.5111, -4.5471
1493777111.3548979759,1493777111.3573269844,  0.0032,  0.0908,  0.9465,  2.9602,-14.3890, -4.5471
1493777111.3574008942,1493777111.3598260880,  0.0032,  0.0908,  0.9465,  2.9602,-14.3890, -4.5471
1493777111.3598999977,1493777111.3623590469,  0.0032,  0.0908,  0.9465,  2.9602,-14.3890, -4.5471
1493777111.3624320030,1493777111.3648579121,  0.0032,  0.0908,  0.9465,  2.9602,-14.3890, -4.5471
1493777111.3649320602,1493777111.3673551083, -0.0002,  0.0898,  0.9475, -0.0153,-14.4501, -3.6774
1493777111.3674299717,1493777111.3698511124, -0.0002,  0.0898,  0.9475, -0.0153,-14.4501, -3.6774
1493777111.3699760437,1493777111.3724019527, -0.0002,  0.0898,  0.9475, -0.0153,-14.4501, -3.6774
1493777111.3724761009,1493777111.3748939037, -0.0002,  0.0898,  0.9475, -0.0153,-14.4501, -3.6774
1493777111.3749680519,1493777111.3773930073, -0.0002,  0.0898,  0.9475, -5.0049,-14.1754, -2.7771
1493777111.3774659634,1493777111.3798930645, -0.0002,  0.0898,  0.9475, -5.0049,-14.1754, -2.7771
1493777111.3800170422,1493777111.3824410439, -0.0002,  0.0898,  0.9475, -5.0049,-14.1754, -2.7771
1493777111.3825149536,1493777111.3849449158, -0.0002,  0.0898,  0.9475, -5.0049,-14.1754, -2.7771
1493777111.3850190639,1493777111.3874380589, -0.0056,  0.0876,  0.9570, -5.0049,-14.1754, -2.4567
1493777111.3875119686,1493777111.3899788857, -0.0056,  0.0876,  0.9570, -8.4076,-12.5580, -2.4567
1493777111.3900539875,1493777111.3923571110, -0.0056,  0.0876,  0.9570, -8.4076,-12.5580, -2.4567
1493777111.3924319744,1493777111.3949010372, -0.0056,  0.0876,  0.9570, -8.4076,-12.5580, -2.4567
1493777111.3949770927,1493777111.3972759247, -0.0056,  0.0876,  0.9570, -8.4076,-12.5580, -2.4567
1493777111.3973510265,1493777111.3996489048, -0.0056,  0.0876,  0.9570,-10.6812, -9.9945, -2.0905
1493777111.3997240067,1493777111.4022469521, -0.0056,  0.0876,  0.9570,-10.6812, -9.9945, -2.0905
1493777111.4023230076,1493777111.4046280384, -0.0056,  0.0876,  0.9570,-10.6812, -9.9945, -2.0905
1493777111.4047029018,1493777111.4071381092, -0.0056,  0.0898,  0.9563,-10.6812, -9.9945, -2.0905
1493777111.4072120190,1493777111.4095120430, -0.0015,  0.0898,  0.9563,-10.6812, -9.9945, -1.8463
1493777111.4095869064,1493777111.4122231007, -0.0015,  0.0898,  0.9563, -8.7433, -5.3558, -1.8463
1493777111.4124109745,1493777111.4148399830, -0.0015,  0.0898,  0.9563, -8.7433, -5.3558, -1.8463
1493777111.4149129391,1493777111.4173359871, -0.0015,  0.0898,  0.9563, -8.7433, -5.3558, -1.8463
1493777111.4174079895,1493777111.4198300838, -0.0015,  0.0898,  0.9563, -8.7433, -5.3558, -1.8463
1493777111.4199020863,1493777111.4223670959, -0.0015,  0.0898,  0.9563, -2.5330, -1.1139, -1.9531
1493777111.4224379063,1493777111.4248590469, -0.0015,  0.0898,  0.9563, -2.5330, -1.1139, -1.9531
1493777111.4249300957,1493777111.4273478985, -0.0015,  0.0930,  0.9448, -2.5330, -1.1139, -1.9531
1493777111.4274199009,1493777111.4298439026, -0.0007,  0.0930,  0.9448, -2.5330, -1.1139, -1.9531
1493777111.4299640656,1493777111.4323859215, -0.0007,  0.0930,  0.9448, -1.1292, -0.6866, -2.1057
1493777111.4324569702,1493777111.4348769188, -0.0007,  0.0930,  0.9448, -1.1292, -0.6866, -2.1057
1493777111.4349470139,1493777111.4373660088, -0.0007,  0.0930,  0.9448, -1.1292, -0.6866, -2.1057
1493777111.4374361038,1493777111.4398560524, -0.0007,  0.0930,  0.9448, -1.1292, -0.6866, -2.1057
1493777111.4399800301,1493777111.4422800541, -0.0007,  0.0930,  0.9448, -1.1292, -0.6866, -2.4109
1493777111.4423511028,1493777111.4446508884, -0.0007,  0.0930,  0.9448, -1.3275, -0.9918, -2.4109
1493777111.4447209835,1493777111.4470219612, -0.0007,  0.0930,  0.9448, -1.3275, -0.9918, -2.4109
1493777111.4470920563,1493777111.4493949413, -0.0039,  0.0881,  0.9514, -1.3275, -0.9918, -2.4109
1493777111.4494650364,1493777111.4517769814, -0.0039,  0.0881,  0.9514, -1.3275, -0.9918, -2.4109
1493777111.4518489838,1493777111.4541480541, -0.0039,  0.0881,  0.9514, -0.9918, -1.0834, -2.1362
1493777111.4542191029,1493777111.4565188885, -0.0039,  0.0881,  0.9514, -0.9918, -1.0834, -2.1362
1493777111.4565889835,1493777111.4588909149, -0.0039,  0.0881,  0.9514, -0.9918, -1.0834, -2.1362
1493777111.4589610100,1493777111.4614310265, -0.0039,  0.0881,  0.9514, -0.9918, -1.0834, -2.1362
1493777111.4615030289,1493777111.4638030529, -0.0039,  0.0881,  0.9514, -0.9918, -1.0834, -2.2583
1493777111.4638741016,1493777111.4661788940, -0.0039,  0.0881,  0.9514, -1.4191, -1.0223, -2.2583
1493777111.4662489891,1493777111.4685549736, -0.0051,  0.0896,  0.9543, -1.4191, -1.0223, -2.2583
1493777111.4686260223,1493777111.4711029530, -0.0051,  0.0896,  0.9543, -1.4191, -1.0223, -2.2583
1493777111.4711749554,1493777111.4735980034, -0.0051,  0.0896,  0.9543, -1.4191, -1.0223, -2.2583
1493777111.4736690521,1493777111.4760930538, -0.0051,  0.0896,  0.9543, -1.0529, -0.6561, -2.2583
1493777111.4761641026,1493777111.4785830975, -0.0051,  0.0896,  0.9543, -1.0529, -0.6561, -2.2583
1493777111.4786539078,1493777111.4810819626, -0.0051,  0.0896,  0.9543, -1.0529, -0.6561, -2.2583
1493777111.4811549187,1493777111.4835751057, -0.0051,  0.0896,  0.9543, -1.0529, -0.6561, -2.2583
1493777111.4836471081,1493777111.4860739708, -0.0051,  0.0896,  0.9543, -1.0529, -0.6561, -1.9836
1493777111.4861450195,1493777111.4885680676, -0.0051,  0.0925,  0.9485, -1.3885, -0.6714, -1.9836
1493777111.4886391163,1493777111.4910180569, -0.0049,  0.0925,  0.9485, -1.3885, -0.6714, -1.9836
1493777111.4910891056,1493777111.4933869839, -0.0049,  0.0925,  0.9485, -1.3885, -0.6714, -1.9836
1493777111.4934589863,1493777111.4957559109, -0.0049,  0.0925,  0.9485, -1.3885, -0.6714, -1.9836
1493777111.4958269596,1493777111.4981179237, -0.0049,  0.0925,  0.9485, -1.3123, -0.6561, -2.4567
1493777111.4981889725,1493777111.5005669594, -0.0049,  0.0925,  0.9485, -1.3123, -0.6561, -2.4567
1493777111.5006380081,1493777111.5030639172, -0.0049,  0.0925,  0.9485, -1.3123, -0.6561, -2.4567
1493777111.5031349659,1493777111.5055589676, -0.0049,  0.0925,  0.9485, -1.3123, -0.6561, -2.4567
1493777111.5056300163,1493777111.5080490112, -0.0049,  0.0925,  0.9492, -1.3123, -1.0834, -2.6398
1493777111.5081191063,1493777111.5105540752, -0.0049,  0.0916,  0.9492, -0.5493, -1.0834, -2.6398
1493777111.5106248856,1493777111.5130460262, -0.0049,  0.0916,  0.9492, -0.5493, -1.0834, -2.6398
1493777111.5131170750,1493777111.5155410767, -0.0049,  0.0916,  0.9492, -0.5493, -1.0834, -2.6398
1493777111.5157239437,1493777111.5181488991, -0.0049,  0.0916,  0.9492, -0.5493, -1.0834, -2.6398
1493777111.5182209015,1493777111.5206589699, -0.0049,  0.0916,  0.9492, -1.0986, -0.7935, -2.3804
1493777111.5207309723,1493777111.5231490135, -0.0049,  0.0916,  0.9492, -1.0986, -0.7935, -2.3804
1493777111.5232210159,1493777111.5256409645, -0.0049,  0.0916,  0.9492, -1.0986, -0.7935, -2.3804
1493777111.5257129669,1493777111.5283520222, -0.0049,  0.0916,  0.9478, -1.0986, -0.7935, -2.3804
1493777111.5284240246,1493777111.5310270786, -0.0061,  0.0916,  0.9478, -1.1444, -0.9155, -2.4261
1493777111.5311000347,1493777111.5333979130, -0.0061,  0.0916,  0.9478, -1.1444, -0.9155, -2.4261
1493777111.5334689617,1493777111.5357689857, -0.0061,  0.0916,  0.9478, -1.1444, -0.9155, -2.4261
1493777111.5358400345,1493777111.5381360054, -0.0061,  0.0916,  0.9478, -1.1444, -0.9155, -2.4261
1493777111.5382080078,1493777111.5405840874, -0.0061,  0.0916,  0.9478, -1.1444, -0.9155, -2.4414
1493777111.5406548977,1493777111.5430760384, -0.0061,  0.0916,  0.9478, -0.8698, -1.0986, -2.4414
1493777111.5431480408,1493777111.5455749035, -0.0061,  0.0916,  0.9478, -0.8698, -1.0986, -2.4414
1493777111.5456459522,1493777111.5480699539, -0.0061,  0.0916,  0.9478, -0.8698, -1.0986, -2.4414
1493777111.5481410027,1493777111.5505700111, -0.0034,  0.0908,  0.9543, -0.8698, -1.0986, -2.4414
1493777111.5506410599,1493777111.5530660152, -0.0034,  0.0908,  0.9543, -1.6785, -0.9918, -2.3193
1493777111.5531370640,1493777111.5555570126, -0.0034,  0.0908,  0.9543, -1.6785, -0.9918, -2.3193
1493777111.5556280613,1493777111.5580470562, -0.0034,  0.0908,  0.9543, -1.6785, -0.9918, -2.3193
1493777111.5581181049,1493777111.5605230331, -0.0034,  0.0908,  0.9543, -1.6785, -0.9918, -2.3193
1493777111.5605928898,1493777111.5628859997, -0.0034,  0.0908,  0.9543, -0.7629, -1.0071, -2.2583
1493777111.5629570484,1493777111.5652489662, -0.0034,  0.0908,  0.9543, -0.7629, -1.0071, -2.2583
1493777111.5653200150,1493777111.5676169395, -0.0034,  0.0908,  0.9543, -0.7629, -1.0071, -2.2583
1493777111.5676879883,1493777111.5700039864, -0.0015,  0.0920,  0.9529, -0.7629, -1.0071, -2.2583
1493777111.5700750351,1493777111.5723719597, -0.0015,  0.0920,  0.9529, -0.7629, -1.0071, -2.2583
